,ID,STATION_NAME,RIVER_BASIN,COUNTY,LONGITUDE,LATITUDE,ELEVATION,OPERATOR
264,LCU,LAKE CURRY,DELTA,NAPA,-122.12554899999999,38.357784,391,Solano County Water Agency
265,LDG,LODGEPOLE,KAWEAH R,TULARE,-118.733,36.6,6735,Sequoia and Kings Canyon National Parks
266,LEG,SOUTH FORK EEL RIVER AT LEGGETT,EEL R,MENDOCINO,-123.72058100000001,39.874596000000004,747,USGS and DWR
267,LEW,LEWISTON,TRINITY R,TRINITY,-122.793,40.727,1870,US Bureau of Reclamation
268,LFH,LEWISTON FISH HATCHERY,TRINITY R,TRINITY,-122.793,40.727,1870,US Bureau of Reclamation
269,LGS,LOG SPRING,SACTO VLY NE,TEHAMA,-122.783,39.833,5100,US Army Corps of Engineers
270,LIC,LICHAU CREEK,PETALUMA R,SONOMA,-122.633,38.317,600,City of Petaluma
271,LKS,LAKESHORE,SACRAMENTO R,SHASTA,-122.383,40.867,1100,US Bureau of Reclamation
272,LON,LOON LAKE (SMUD),AMERICAN R,EL DORADO,-120.323,38.983,6410,Sacramento Municipal Utility District
273,LSP,LAKE SPAULDING (PG&E),YUBA R,NEVADA,-120.633,39.317,5156,Pacific Gas & Electric
274,LVO,LIVE OAK CANYON - LIVE OAK DAM,LOS ANGELES R,LOS ANGELES,-117.744,34.134,1510,Los Angeles County
275,LVT,LEAVITT LAKE,WALKER R,MONO,-119.621,38.282,9600,Natural Resources Conservation Service
276,LYC,LYTLE CREEK,SANTA ANA R,SAN BERNARDINO,-117.48,34.234,2792,US Forest Service
277,MAP,MAPEL RANCH,JACALITOS CR,FRESNO,-120.483,36.039,2640,CA Dept of Water Resources/Operations and Maintenance
278,MAR,MARIPOSA CREEK DAM,MERCED R,MARIPOSA,-120.147,37.292,459,US Army Corps of Engineers
279,MB3,MIDDLE BOULDER 3,SCOTT R,SISKIYOU,-122.811,41.225,6200,US Bureau of Reclamation
280,MBB,MERCED RIVER NEAR BRICEBURG,MERCED R,MARIPOSA,-119.9781,37.5989,1150,Merced Irrigation District
281,MBR,MEADOWBROOK (PG&E),KINGS R,FRESNO,-118.863,37.082,8021,Pacific Gas & Electric
282,MCE,MERCED (CIMIS 148),MERCED R,MERCED,-120.386389,37.313611,200,CA Dept of Water Resources/South Central Region Office
283,MCL,MCCLOUD DAM (PG&E),MC CLOUD R,SHASTA,-122.071,41.13,2690,Pacific Gas & Electric
284,MCM,MORRISON CREEK AT MACK ROAD,SACRAMENTO R,SACRAMENTO,-121.458,38.478,13,Sacramento Dept of Public Works
285,MCN,MOCCASIN,TUOLUMNE R,TUOLUMNE,-120.299006,37.810184,938,Hetch Hetchy Water and Power
286,MDL,MUD LAKE,MOKELUMNE R,AMADOR,-120.14,38.615,7900,Sacramento Municipal Utility District
287,MDZ,MENDEZ RANCH,CALAVERAS R,STANISLAUS,-120.924,38.062,322,San Joaquin County
288,MED,MEDICINE LAKE,PIT R,SISKIYOU,-121.6131,41.5869,6700,US Bureau of Reclamation
289,MGN,MAGOON,FRESNO R,MARIPOSA,-119.8125,37.4894,3150,US Army Corps of Engineers
290,MHH,MOCCASIN MET STATION,TUOLUMNE R,TUOLUMNE,-120.296861,37.810151,930,San Francisco PUC
291,MHP,MAMMOTH PASS (USBR),OWENS R,MONO,-119.03175,37.6124,9300,US Bureau of Reclamation
292,MIL,FRIANT DAM (MILLERTON),SAN JOAQUIN R,FRESNO,-119.705,37.001,581,US Bureau of Reclamation
293,MIN,MINERAL,SACTO VLY NE,TEHAMA,-121.609,40.348,4957,CA Dept of Water Resources/Flood Management
294,MLD,MCCLOUD,MC CLOUD R,SHASTA,-122.133,41.25,3280,US Bureau of Reclamation
295,MNH,MOUNTAIN HOME,TULE R,TULARE,-118.71,36.242,5400,US Army Corps of Engineers
296,MNR,MINERAL (OBSERVER),SACTO VLY NE,TEHAMA,-121.6,40.35,4875,National Weather Service
297,MPG,MARIPOSA GROVE,MERCED R,MARIPOSA,-119.6,37.5,6400,CAL FIRE
298,MRD,EEL RIVER SF NR MIRANDA (AT SYLVANDALE),EEL R,HUMBOLDT,-123.776146,40.181808000000004,218,USGS and DWR
299,MRN,MORMON ROCK,LYTLE CR,SAN BERNARDINO,-117.502,34.317,3300,US Forest Service
300,MRP,MARIPOSA RANGER STATION,MERCED R,MARIPOSA,-119.986946,37.504166,2250,CAL FIRE
301,MRT,MARTIS CREEK RESERVOIR,TRUCKEE R,NEVADA,-120.113,39.327,5745,US Army Corps of Engineers
302,MSA,MURRAY CK NR SAN ANDREAS,MOKELUMNE R,CALAVERAS,-120.6751,38.2116,880,US Geological Survey
303,MSC,MOUNT SHASTA CITY,SACRAMENTO R,SISKIYOU,-122.317,41.317,3590,National Weather Service
304,MTF,MOUNTAIN REST,SAN JOAQUIN R,FRESNO,-119.371,37.054,4100,US Forest Service
305,MTS,MOUNT SHASTA,SACRAMENTO R,SISKIYOU,-122.316,41.313,3545,CA Dept of Water Resources/Flood Management
306,MTY,MONTEREY AIRPORT,CARMEL R,MONTEREY,-121.847504,36.590557000000004,217,National Weather Service
307,MUD,MUD SPRINGS,TRINITY R,TRINITY,-123.283,40.717,3400,CA Dept of Water Resources/Flood Management
308,MUM,MUMBO BASIN,TRINITY R,TRINITY,-122.523,41.197,5650,US Bureau of Reclamation
309,MVA,MT VACA,ULATIS CR,SOLANO,-122.09861799999999,38.395,2611,Solano County Water Agency
